Book,Hadith Number,Narrator Present (Yes/No),Narrator Value,Authenticated Extraction,Extraction Method,Verification Status,Reason if Narrator missing/mismatch,Arabic Present (Yes/No),Translation Present (Yes/No),Reference Present (Yes/No),Grade Present (Yes/No),Source Provider,Book Slug
Sahih Bukhari,1,Yes,Umar bin Al-Khattab,Umar bin Al-Khattab,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,2,Yes,Aisha,Aisha,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,3,Yes,Aisha,Aisha,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,4,Yes,Jabir bin 'Abdullah Al-Ansari,Jabir bin 'Abdullah Al-Ansari,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,5,Yes,Said bin Jubair,Said bin Jubair,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,6,Yes,Ibn 'Abbas,Ibn 'Abbas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,7,Yes,Abdullah bin 'Abbas,Abdullah bin 'Abbas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,8,Yes,Ibn 'Umar,Ibn 'Umar,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,9,Yes,Abu Huraira,Abu Huraira,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,10,Yes,Abdullah bin 'Amr,Abdullah bin 'Amr,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,11,Yes,Abu Musa,Abu Musa,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,12,Yes,Abdullah bin 'Amr,Abdullah bin 'Amr,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,13,Yes,Anas,Anas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,14,Yes,Abu Huraira,Abu Huraira,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,15,Yes,Anas,Anas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,16,Yes,Anas,Anas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,17,Yes,Anas,Anas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,18,Yes,Ubada bin As-Samit,Ubada bin As-Samit,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,19,Yes,Abu,Abu,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,20,Yes,Aisha,Aisha,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,21,Yes,Anas,Anas,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,22,Yes,Abu,Abu,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,23,Yes,Abu,Abu,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
Sahih Bukhari,24,Yes,Abdullah,Abdullah,en:narrated_colon,VERIFIED_MATCH,,Yes,Yes,Yes,No,fawazahmed0/hadith-api@1,bukhari
