slug,book,n,chapter,reference_url,en_prefix,ar_prefix,reference_book,reference_hadith
abudawud,Sunan Abu Dawood,123,Purification (Kitab Al-Taharah),https://sunnah.com/abudawud:123,Another version says:He wiped his ears inside and outside. Hisham adds: He inserted his fingers in the ear-holes,حَدَّثَنَا مَحْمُودُ بْنُ خَالِدٍ، وَهِشَامُ بْنُ خَالِدٍ، - الْمَعْنَى - قَالاَ حَدَّثَنَا الْوَلِيدُ، بِهَذَا الإِسْنَ,1,123
abudawud,Sunan Abu Dawood,907,Prayer (Kitab Al-Salat),https://sunnah.com/abudawud:907,,,2,517
abudawud,Sunan Abu Dawood,1598,Zakat (Kitab Al-Zakat),https://sunnah.com/abudawud:1598,"Waki’ said Ba’l means the agricultural crop which grows by the rain water. Ibn Al Aswad said and Yahya, that is, Ibn Adam said I asked Abu Iyas al Asadi (about ",حَدَّثَنَا الْهَيْثَمُ بْنُ خَالِدٍ الْجُهَنِيُّ، وَحُسَيْنُ بْنُ الأَسْوَدِ الْعِجْلِيُّ، قَالاَ قَالَ وَكِيعٌ الْبَعْل,9,43
abudawud,Sunan Abu Dawood,4290,The Promised Deliverer (Kitab Al-Mahdi),https://sunnah.com/abudawud:4290,,,38,12
bukhari,Sahih Bukhari,239,Ablutions (Wudu'),https://sunnah.com/bukhari:239,"The same narrator said that the Prophet (ﷺ) had said: ""You should not pass urine in stagnant water which is not flowing then (you may need to) wash in it","وَبِإِسْنَادِهِ قَالَ ‏ ""‏ لاَ يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الَّذِي لاَ يَجْرِي، ثُمَّ يَغْتَسِلُ فِيهِ",4,105
bukhari,Sahih Bukhari,486,Prayers (Salat),https://sunnah.com/bukhari:486,See translation for hadith 484 above,وَأَنَّ ابْنَ عُمَرَ كَانَ يُصَلِّي إِلَى الْعِرْقِ الَّذِي عِنْدَ مُنْصَرَفِ الرَّوْحَاءِ، وَذَلِكَ الْعِرْقُ انْتِهَاء,8,133
bukhari,Sahih Bukhari,804,Call to Prayers (Adhaan),https://sunnah.com/bukhari:804,"And Abu Huraira said, ""When Allah's Messenger (ﷺ) raised his head from (bowing) he used to say ""Sami`a l-lahu liman hamidah, Rabbana wa laka l-hamd."" He Would i",قَالاَ وَقَالَ أَبُو هُرَيْرَةَ ـ رضى الله عنه ـ وَكَانَ رَسُولُ اللَّهِ صلى الله عليه وسلم حِينَ يَرْفَعُ رَأْسَهُ يَقُ,10,199
bukhari,Sahih Bukhari,1848,Penalty of Hunting while on Pilgrimage,https://sunnah.com/bukhari:1848,"A man bit the hand of another man but in that process the latter broke one incisor tooth of the former, and the Prophet (ﷺ) forgave the latter",وَعَضَّ رَجُلٌ يَدَ رَجُلٍ ـ يَعْنِي فَانْتَزَعَ ثَنِيَّتَهُ ـ فَأَبْطَلَهُ النَّبِيُّ صلى الله عليه وسلم‏.‏,28,28
bukhari,Sahih Bukhari,5337,Divorce,https://sunnah.com/bukhari:5337,"I (Humaid) said to Zainab, ""What does 'throwing a globe of dung when one year had elapsed' mean?"" Zainab said, ""When a lady was bereaved of her husband, she wou",قَالَ حُمَيْدٌ فَقُلْتُ لِزَيْنَبَ وَمَا تَرْمِي بِالْبَعَرَةِ عَلَى رَأْسِ الْحَوْلِ فَقَالَتْ زَيْنَبُ كَانَتِ الْمَرْ,68,82
bukhari,Sahih Bukhari,5710,Medicine,https://sunnah.com/bukhari:5710,,,0,0
