Book,Book Slug,Hadith Number,Reference URL,Local EN prefix,Local AR prefix,Imported Narrator,Method,Verification,Status,Notes
Sunan Abu Dawood,abudawud,123,https://sunnah.com/abudawud:123,Another version says:He wiped his ears inside and outside. Hisham adds: He inserted his fingers in the ear-holes,حَدَّثَنَا مَحْمُودُ بْنُ خَالِدٍ، وَهِشَامُ بْنُ خَالِدٍ، - الْمَعْنَى - قَالاَ,Al-Miqdam b. Ma’dikarib,sunnah_same_chain_previous,text_and_inbook_match,IMPORTED,Verified via text_and_inbook_match; sunnah in-book Book 1 Hadith 123
Sunan Abu Dawood,abudawud,907,https://sunnah.com/abudawud:907,,,Al-Miswar ibn Yazid al-Maliki,sunnah_narrated_label,inbook_ref_match_with_local_content,IMPORTED,Verified via inbook_ref_match_with_local_content; sunnah in-book Book 2 Hadith 517
Sunan Abu Dawood,abudawud,1598,https://sunnah.com/abudawud:1598,"Waki’ said Ba’l means the agricultural crop which grows by the rain water. Ibn Al Aswad said and Yahya, that is, Ibn Ada",حَدَّثَنَا الْهَيْثَمُ بْنُ خَالِدٍ الْجُهَنِيُّ، وَحُسَيْنُ بْنُ الأَسْوَدِ الْ,,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sunan Abu Dawood,abudawud,4290,https://sunnah.com/abudawud:4290,,,علي بن أبي طالب الهاشمي,sunnah_arabic_isnad_last_link,inbook_ref_match_with_local_content,IMPORTED,Verified via inbook_ref_match_with_local_content; sunnah in-book Book 38 Hadith 12
Sahih Bukhari,bukhari,239,https://sunnah.com/bukhari:239,"The same narrator said that the Prophet (ﷺ) had said: ""You should not pass urine in stagnant water which is not flowing ","وَبِإِسْنَادِهِ قَالَ ‏ ""‏ لاَ يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الّ",Abu Huraira,sunnah_same_chain_previous,text_and_inbook_match,IMPORTED,Verified via text_and_inbook_match; sunnah in-book Book 4 Hadith 105
Sahih Bukhari,bukhari,486,https://sunnah.com/bukhari:486,See translation for hadith 484 above,وَأَنَّ ابْنَ عُمَرَ كَانَ يُصَلِّي إِلَى الْعِرْقِ الَّذِي عِنْدَ مُنْصَرَفِ ال,,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sahih Bukhari,bukhari,804,https://sunnah.com/bukhari:804,"And Abu Huraira said, ""When Allah's Messenger (ﷺ) raised his head from (bowing) he used to say ""Sami`a l-lahu liman hami",قَالاَ وَقَالَ أَبُو هُرَيْرَةَ ـ رضى الله عنه ـ وَكَانَ رَسُولُ اللَّهِ صلى الل,أبو هريرة الدوسي,sunnah_arabic_isnad_last_link,text_and_inbook_match,IMPORTED,Verified via text_and_inbook_match; sunnah in-book Book 10 Hadith 199
Sahih Bukhari,bukhari,1848,https://sunnah.com/bukhari:1848,"A man bit the hand of another man but in that process the latter broke one incisor tooth of the former, and the Prophet ",وَعَضَّ رَجُلٌ يَدَ رَجُلٍ ـ يَعْنِي فَانْتَزَعَ ثَنِيَّتَهُ ـ فَأَبْطَلَهُ النّ,,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sahih Bukhari,bukhari,5337,https://sunnah.com/bukhari:5337,"I (Humaid) said to Zainab, ""What does 'throwing a globe of dung when one year had elapsed' mean?"" Zainab said, ""When a l",قَالَ حُمَيْدٌ فَقُلْتُ لِزَيْنَبَ وَمَا تَرْمِي بِالْبَعَرَةِ عَلَى رَأْسِ الْح,,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sahih Bukhari,bukhari,5710,https://sunnah.com/bukhari:5710,,,,,local_empty_cannot_verify_without_inbook,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=0
Sahih Bukhari,bukhari,5711,https://sunnah.com/bukhari:5711,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=0
Sahih Bukhari,bukhari,5712,https://sunnah.com/bukhari:5712,,,Ibn `Abbas and `Aisha,sunnah_narrated_label,inbook_ref_match_empty_local_texts,IMPORTED,Verified via inbook_ref_match_empty_local_texts; sunnah in-book Book 76 Hadith 29
Sahih Bukhari,bukhari,5774,https://sunnah.com/bukhari:5774,,,,,local_empty_cannot_verify_without_inbook,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=0
Sahih Bukhari,bukhari,5775,https://sunnah.com/bukhari:5775,,,Abu Huraira,sunnah_narrated_label,inbook_ref_match_empty_local_texts,IMPORTED,Verified via inbook_ref_match_empty_local_texts; sunnah in-book Book 76 Hadith 87
Sahih Bukhari,bukhari,5956,https://sunnah.com/bukhari:5956,Aisha added:The Prophet (ﷺ) and I used to take a bath from one container (of water),وَكُنْتُ أَغْتَسِلُ أَنَا وَالنَّبِيُّ، صلى الله عليه وسلم مِنْ إِنَاءٍ وَاحِدٍ‏,,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sahih Bukhari,bukhari,6074,https://sunnah.com/bukhari:6074,,,,,local_empty_cannot_verify_without_inbook,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=0
Sahih Bukhari,bukhari,6075,https://sunnah.com/bukhari:6075,,,`Aisha,sunnah_narrated_label,inbook_ref_match_empty_local_texts,IMPORTED,Verified via inbook_ref_match_empty_local_texts; sunnah in-book Book 78 Hadith 103
Sahih Bukhari,bukhari,6174,https://sunnah.com/bukhari:6174,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=0
Sahih Bukhari,bukhari,6175,https://sunnah.com/bukhari:6175,,,`Abdullah bin `Umar,sunnah_narrated_label,inbook_ref_match_with_local_content,IMPORTED,Verified via inbook_ref_match_with_local_content; sunnah in-book Book 78 Hadith 199
Sahih Bukhari,bukhari,6625,https://sunnah.com/bukhari:6625,"Allah's Messenger (ﷺ) also said:""By Allah, if anyone of you insists on fulfilling an oath by which he may harm his famil","فَقَالَ رَسُولُ اللَّهِ صلى الله عليه وسلم ‏ ""‏ وَاللَّهِ لأَنْ يَلِجَّ أَحَدُكُ",,,text_and_inbook_match,LEFT_EMPTY_NO_RAVI_ON_PAGE,Verified same hadith/book but sunnah page has no extractable narrator
Sahih Muslim,muslim,1,https://sunnah.com/muslim:1,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=5
Sahih Muslim,muslim,2,https://sunnah.com/muslim:2,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=4
Sahih Muslim,muslim,5,https://sunnah.com/muslim:5,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=6
Sahih Muslim,muslim,6,https://sunnah.com/muslim:6,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=6
Sahih Muslim,muslim,7,https://sunnah.com/muslim:7,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=None:None narrated=None links=6
Sahih Muslim,muslim,8,https://sunnah.com/muslim:8,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:1 narrated=None links=9
Sahih Muslim,muslim,9,https://sunnah.com/muslim:9,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:6 narrated=None links=0
Sahih Muslim,muslim,10,https://sunnah.com/muslim:10,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:7 narrated=None links=5
Sahih Muslim,muslim,11,https://sunnah.com/muslim:11,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:8 narrated=None links=5
Sahih Muslim,muslim,12,https://sunnah.com/muslim:12,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:10 narrated=None links=4
Sahih Muslim,muslim,13,https://sunnah.com/muslim:13,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:12 narrated=None links=4
Sahih Muslim,muslim,14,https://sunnah.com/muslim:14,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:14 narrated=None links=6
Sahih Muslim,muslim,16,https://sunnah.com/muslim:16,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:19 narrated=None links=4
Sahih Muslim,muslim,17,https://sunnah.com/muslim:17,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:23 narrated=None links=6
Sahih Muslim,muslim,18,https://sunnah.com/muslim:18,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:26 narrated=None links=6
Sahih Muslim,muslim,19,https://sunnah.com/muslim:19,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:29 narrated=None links=8
Sahih Muslim,muslim,20,https://sunnah.com/muslim:20,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:32 narrated=None links=7
Sahih Muslim,muslim,21,https://sunnah.com/muslim:21,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:33 narrated=None links=7
Sahih Muslim,muslim,22,https://sunnah.com/muslim:22,,,,,no_text_or_inbook_match,LEFT_EMPTY_UNVERIFIED,collection_ok=True inbook=1:36 narrated=None links=4
